186,10020,9774,9675,9879,10010,9762,9669,9865,10009,9759,9662,9863,9999,9753,9656,9854,9989,9748,9649,9849,
206,10025,9775,9678,9878,10016,9765,9673,9869,10011,9764,9665,9861,9999,9754,9663,9858,9992,9741,9650,9846,
228,10020,9773,9677,9880,10016,9762,9673,9867,10010,9759,9668,9860,10005,9755,9656,9856,9990,9741,9649,9845,
248,10024,9771,9678,9876,10014,9764,9675,9867,10009,9760,9665,9863,9999,9754,9657,9853,9990,9740,9649,9846,
270,10020,9770,9677,9881,10018,9766,9675,9871,10010,9759,9665,9867,10003,9754,9661,9858,9993,9740,9651,9846,
290,10021,9772,9678,9875,10016,9767,9672,9868,10011,9758,9666,9865,10000,9753,9654,9855,9991,9743,9646,9845,
312,10022,9770,9678,9879,10018,9764,9674,9870,10009,9756,9662,9863,9998,9749,9657,9852,9988,9744,9651,9843,
332,10025,9770,9680,9874,10012,9764,9675,9867,10005,9757,9666,9858,10001,9752,9658,9850,9993,9745,9650,9844,
354,10022,9772,9682,9877,10013,9762,9670,9865,10007,9757,9663,9863,9998,9752,9658,9850,9992,9742,9646,9847,
374,10019,9772,9677,9877,10012,9761,9670,9867,10006,9758,9667,9862,10001,9754,9657,9852,9993,9741,9646,9839,
396,10021,9773,9677,9876,10014,9765,9675,9869,10011,9759,9661,9867,10004,9755,9662,9857,9989,9742,9653,9848,
417,10026,9774,9676,9881,10014,9764,9672,9870,10008,9759,9665,9863,9996,9749,9655,9856,9988,9738,9646,9846,
438,10019,9772,9677,9878,10010,9763,9672,9869,10003,9757,9664,9865,9998,9748,9656,9855,9994,9740,9649,9848,
459,10022,9777,9677,9880,10010,9767,9671,9869,10004,9761,9660,9862,10000,9753,9656,9858,9991,9741,9650,9844,
480,10018,9770,9676,9879,10011,9761,9671,9869,10007,9756,9662,9863,10003,9753,9656,9853,9993,9738,9652,9843,
501,10022,9770,9677,9876,10014,9765,9673,9865,10012,9758,9664,9859,9995,9751,9655,9854,9996,9740,9650,9844,
522,10023,9772,9678,9881,10010,9762,9672,9867,10009,9755,9665,9859,10003,9749,9656,9852,9995,9741,9650,9844,
543,10023,9774,9676,9875,10012,9763,9670,9867,10009,9758,9663,9859,9999,9753,9655,9855,9988,9741,9648,9842,
564,10021,9775,9676,9875,10010,9767,9670,9867,10007,9758,9658,9864,9998,9756,9655,9858,9991,9743,9646,9850,
585,10017,9770,9679,9878,10015,9762,9670,9868,10006,9759,9665,9866,9997,9753,9658,9855,9989,9741,9646,9846,
606,10024,9773,9678,9878,10013,9763,9671,9870,10004,9758,9660,9859,9994,9756,9656,9854,9991,9742,9647,9840,
627,10016,9774,9676,9877,10010,9763,9671,9865,10005,9758,9662,9858,9992,9751,9654,9852,9989,9742,9649,9844,
648,10019,9776,9677,9877,10010,9767,9672,9868,10011,9760,9662,9860,10001,9755,9656,9855,9984,9742,9648,9843,
669,10020,9774,9674,9876,10012,9764,9671,9868,10008,9759,9666,9863,9998,9750,9660,9856,9990,9739,9650,9846,
690,10023,9770,9679,9881,10011,9765,9672,9872,10009,9758,9663,9864,10001,9752,9658,9854,9988,9736,9652,9845,
711,10024,9771,9673,9878,10014,9765,9669,9866,10010,9756,9664,9860,10002,9750,9655,9853,9991,9740,9650,9844,
732,10021,9771,9681,9878,10013,9760,9667,9866,10008,9755,9660,9864,10002,9754,9656,9855,9991,9740,9653,9845,
753,10020,9774,9681,9877,10012,9763,9676,9868,10008,9759,9662,9866,9998,9753,9654,9854,9995,9747,9647,9847,
774,10020,9774,9677,9877,10014,9766,9668,9871,10007,9759,9663,9861,9997,9749,9654,9851,9986,9740,9644,9844,
795,10019,9773,9677,9878,10013,9763,9672,9866,10012,9759,9665,9862,10001,9749,9660,9854,9987,9741,9649,9844,
816,10022,9773,9677,9880,10014,9767,9673,9866,10006,9756,9663,9864,9997,9750,9657,9852,9990,9742,9648,9842,
837,10029,9774,9678,9878,10016,9767,9675,9869,10006,9759,9665,9862,10000,9753,9657,9853,9988,9741,9649,9842,
858,10018,9775,9676,9878,10009,9764,9669,9865,10009,9758,9666,9863,10002,9751,9658,9852,9992,9744,9650,9844,
879,10021,9772,9677,9878,10017,9769,9674,9872,10007,9760,9668,9862,9992,9751,9657,9849,9989,9742,9649,9846,
900,10019,9773,9678,9881,10007,9763,9673,9870,10004,9760,9665,9861,10002,9751,9658,9850,9986,9742,9649,9843,
921,10020,9773,9680,9881,10009,9762,9669,9866,10012,9755,9660,9859,10001,9752,9653,9855,9993,9743,9646,9844,
942,10022,9771,9677,9879,10015,9766,9668,9864,10007,9757,9660,9863,9996,9752,9660,9857,9991,9741,9649,9848,
963,10020,9770,9675,9880,10013,9762,9672,9868,10009,9756,9661,9864,10000,9754,9657,9854,9988,9744,9651,9843,
985,10020,9774,9679,9876,10017,9766,9672,9871,10010,9762,9667,9862,9992,9751,9654,9851,9989,9742,9651,9845,
1005,10022,9772,9679,9878,10011,9761,9675,9872,10005,9761,9665,9860,10000,9754,9651,9851,9994,9744,9645,9841,
1027,10025,9775,9676,9877,10016,9764,9671,9866,10009,9759,9658,9863,9995,9751,9659,9850,9990,9745,9649,9846,
1047,10023,9776,9678,9876,10011,9766,9669,9867,10010,9760,9660,9862,10000,9756,9659,9855,9991,9742,9646,9838,
1069,10023,9770,9677,9878,10016,9766,9673,9867,10008,9760,9665,9858,9994,9755,9650,9847,9989,9745,9649,9840,
1089,10023,9774,9679,9876,10013,9760,9673,9864,10004,9761,9660,9861,10001,9754,9660,9854,9991,9742,9649,9845,
1111,10020,9772,9680,9876,10009,9760,9667,9863,10008,9760,9666,9863,9994,9754,9658,9851,9989,9742,9648,9841,
1131,10021,9774,9677,9875,10008,9765,9674,9872,10006,9758,9666,9859,10001,9751,9655,9853,9995,9743,9646,9846,
1153,10025,9774,9679,9874,10018,9766,9673,9869,10010,9758,9663,9864,10002,9751,9662,9856,9994,9741,9650,9841,
1174,10016,9771,9678,9874,10014,9765,9671,9869,10012,9758,9666,9860,9996,9752,9658,9853,9991,9742,9649,9844,
1195,10021,9772,9682,9879,10013,9764,9671,9867,10007,9758,9666,9859,9996,9757,9660,9853,9989,9741,9650,9841,
1216,10019,9774,9677,9877,10012,9767,9673,9866,10004,9759,9665,9865,10003,9749,9657,9854,9993,9737,9644,9841,
1236,10023,9770,9676,9874,10014,9760,9670,9865,10014,9757,9663,9864,9995,9748,9653,9853,9994,9737,9647,9843,
1258,10024,9772,9677,9875,10016,9762,9667,9871,10008,9758,9663,9867,10004,9753,9661,9857,9998,9741,9650,9841,
1278,10030,9774,9683,9878,10025,9770,9673,9870,10017,9762,9668,9864,10001,9751,9656,9856,9988,9740,9649,9840,
1300,10023,9774,9677,9876,10014,9763,9669,9865,10008,9760,9666,9863,10001,9749,9660,9852,9989,9741,9651,9845,
1320,10017,9773,9673,9873,10014,9767,9675,9869,10010,9759,9662,9860,9997,9751,9655,9853,9989,9745,9648,9841,
